material_id,plant,material_description,base_unit,program_short,profit_center,planning_type,mrp_controller,production_scheduler,purchase_organization,accountable_l1,responsible_l1,minimum_order_quantity,safety_stock_target,status_safety,supply_type,standard_price,finance_classification
MAT-1032,PLANT-01,Control board,EA,PROG-H,PC-800,V1,H05,SCHED-2,ORG-PL,Ops,Planner H,50,50,OK,Make,9.6,B
MAT-1033,PLANT-02,Legacy bracket,EA,PROG-A,PC-100,PD,A06,SCHED-3,ORG-DE,Ops,Planner A,100,80,Critical,Transfer,12.5,C
MAT-1034,PLANT-03,Sensor module,EA,PROG-B,PC-200,VB,B07,SCHED-4,ORG-FR,Ops,Planner B,250,120,OK,Buy,18.4,A
MAT-1035,PLANT-04,Precision bearing,EA,PROG-C,PC-300,ND,C08,SCHED-5,ORG-CZ,Ops,Planner C,500,160,Review,Make,24.0,B
MAT-1036,PLANT-01,Pump rotor,EA,PROG-D,PC-400,V1,,,,,,10,10,OK,Transfer,31.5,C
MAT-1037,PLANT-02,Valve body,EA,PROG-E,PC-500,PD,E01,SCHED-1,ORG-DE,Ops,Planner E,20,20,OK,Buy,44.0,A
MAT-1038,PLANT-03,Seal kit,EA,PROG-F,PC-600,VB,F02,SCHED-2,ORG-FR,Ops,Planner F,25,35,OK,Make,51.0,B
MAT-1039,PLANT-04,Drive belt,EA,PROG-G,PC-700,ND,G03,SCHED-3,ORG-CZ,Ops,Planner G,50,50,OK,Transfer,78.5,C
MAT-1040,PLANT-01,Display unit,EA,PROG-H,PC-800,V1,H04,SCHED-4,ORG-PL,Ops,Planner H,100,80,Review,Buy,96.0,A
MAT-1041,PLANT-02,Cable harness,EA,PROG-A,PC-100,PD,A05,SCHED-5,ORG-DE,Ops,Planner A,250,120,OK,Make,142.0,B
MAT-1042,PLANT-03,Cooling fan,EA,PROG-B,PC-200,VB,B06,SCHED-6,ORG-FR,Ops,Planner B,500,160,OK,Transfer,188.0,C
MAT-1043,PLANT-04,Filter cartridge,EA,PROG-C,PC-300,ND,C07,SCHED-1,ORG-CZ,Ops,Planner C,10,10,OK,Buy,260.0,A
MAT-1044,PLANT-01,Gear wheel,EA,PROG-D,PC-400,V1,D08,SCHED-2,ORG-PL,Ops,Planner D,20,20,Critical,Make,315.0,B
MAT-1045,PLANT-02,Pressure sensor,EA,PROG-E,PC-500,PD,E09,SCHED-3,ORG-DE,Ops,Planner E,25,35,Review,Transfer,410.0,C
MAT-1046,PLANT-03,Mounting plate,EA,PROG-F,PC-600,VB,F01,SCHED-4,ORG-FR,Ops,Planner F,50,50,OK,Buy,4.8,A
MAT-1047,PLANT-04,Hydraulic hose,EA,PROG-G,PC-700,ND,G02,SCHED-5,ORG-CZ,Ops,Planner G,100,80,OK,Make,9.6,B
MAT-1048,PLANT-01,Connector kit,EA,PROG-H,PC-800,V1,H03,SCHED-6,ORG-PL,Ops,Planner H,250,120,OK,Transfer,12.5,C
MAT-1049,PLANT-02,Packaging insert,EA,PROG-A,PC-100,PD,A04,SCHED-1,ORG-DE,Ops,Planner A,500,160,OK,Buy,18.4,A
MAT-1050,PLANT-03,Motor housing,EA,PROG-B,PC-200,VB,B05,SCHED-2,ORG-FR,Ops,Planner B,10,10,Review,Make,24.0,B
MAT-1051,PLANT-04,Relay module,EA,PROG-C,PC-300,ND,C06,SCHED-3,ORG-CZ,Ops,Planner C,20,20,OK,Transfer,31.5,C
MAT-1052,PLANT-01,Shaft collar,EA,PROG-D,PC-400,V1,D07,SCHED-4,ORG-PL,Ops,Planner D,25,35,OK,Buy,44.0,A
MAT-1053,PLANT-02,O-ring set,EA,PROG-E,PC-500,PD,E08,SCHED-5,ORG-DE,Ops,Planner E,50,50,OK,Make,51.0,B
MAT-1054,PLANT-03,Terminal block,EA,PROG-F,PC-600,VB,F09,SCHED-6,ORG-FR,Ops,Planner F,100,80,OK,Transfer,78.5,C
MAT-1055,PLANT-04,Flow meter,EA,PROG-G,PC-700,ND,G01,SCHED-1,ORG-CZ,Ops,Planner G,250,120,Review,Buy,96.0,A
MAT-1056,PLANT-01,Actuator arm,EA,PROG-H,PC-800,V1,H02,SCHED-2,ORG-PL,Ops,Planner H,500,160,OK,Make,142.0,B
MAT-1057,PLANT-02,Insulation cover,EA,PROG-A,PC-100,PD,A03,SCHED-3,ORG-DE,Ops,Planner A,10,10,OK,Transfer,188.0,C
MAT-1058,PLANT-03,Guide rail,EA,PROG-B,PC-200,VB,B04,SCHED-4,ORG-FR,Ops,Planner B,20,20,OK,Buy,260.0,A
MAT-1059,PLANT-04,Solenoid valve,EA,PROG-C,PC-300,ND,C05,SCHED-5,ORG-CZ,Ops,Planner C,25,35,OK,Make,315.0,B
MAT-1060,PLANT-01,Battery pack,EA,PROG-D,PC-400,V1,D06,SCHED-6,ORG-PL,Ops,Planner D,50,50,Review,Transfer,410.0,C
MAT-1061,PLANT-02,Housing assembly,EA,PROG-E,PC-500,PD,E07,SCHED-1,ORG-DE,Ops,Planner E,100,80,OK,Buy,4.8,A
MAT-1062,PLANT-03,Control board,EA,PROG-F,PC-600,VB,F08,SCHED-2,ORG-FR,Ops,Planner F,250,120,OK,Make,9.6,B
MAT-1063,PLANT-04,Legacy bracket,EA,PROG-G,PC-700,ND,G09,SCHED-3,ORG-CZ,Ops,Planner G,500,160,OK,Transfer,12.5,C
MAT-1064,PLANT-01,Sensor module,EA,PROG-H,PC-800,V1,H01,SCHED-4,ORG-PL,Ops,Planner H,10,10,OK,Buy,18.4,A
MAT-1065,PLANT-02,Precision bearing,EA,PROG-A,PC-100,PD,A02,SCHED-5,ORG-DE,Ops,Planner A,20,20,Review,Make,24.0,B
MAT-1066,PLANT-03,Pump rotor,EA,PROG-B,PC-200,VB,B03,SCHED-6,ORG-FR,Ops,Planner B,25,35,Critical,Transfer,31.5,C
MAT-1067,PLANT-04,Valve body,EA,PROG-C,PC-300,ND,C04,SCHED-1,ORG-CZ,Ops,Planner C,50,50,OK,Buy,44.0,A
MAT-1068,PLANT-01,Seal kit,EA,PROG-D,PC-400,V1,D05,SCHED-2,ORG-PL,Ops,Planner D,100,80,OK,Make,51.0,B
MAT-1069,PLANT-02,Drive belt,EA,PROG-E,PC-500,PD,E06,SCHED-3,ORG-DE,Ops,Planner E,250,120,OK,Transfer,78.5,C
MAT-1070,PLANT-03,Display unit,EA,PROG-F,PC-600,VB,F07,SCHED-4,ORG-FR,Ops,Planner F,500,160,Review,Buy,96.0,A
MAT-1071,PLANT-04,Cable harness,EA,PROG-G,PC-700,ND,G08,SCHED-5,ORG-CZ,Ops,Planner G,10,10,OK,Make,142.0,B
MAT-1072,PLANT-01,Cooling fan,EA,PROG-H,PC-800,V1,H09,SCHED-6,ORG-PL,Ops,Planner H,20,20,OK,Transfer,188.0,C
MAT-1073,PLANT-02,Filter cartridge,EA,PROG-A,PC-100,PD,A01,SCHED-1,ORG-DE,Ops,Planner A,25,35,OK,Buy,260.0,A
MAT-1074,PLANT-03,Gear wheel,EA,PROG-B,PC-200,VB,B02,SCHED-2,ORG-FR,Ops,Planner B,50,50,OK,Make,315.0,B
MAT-1075,PLANT-04,Pressure sensor,EA,PROG-C,PC-300,ND,C03,SCHED-3,ORG-CZ,Ops,Planner C,100,80,Review,Transfer,410.0,C
MAT-1077,PLANT-02,Hydraulic hose,EA,PROG-E,PC-500,PD,E05,SCHED-5,ORG-DE,Ops,Planner E,500,160,Critical,Make,9.6,B
MAT-1078,PLANT-03,Connector kit,EA,PROG-F,PC-600,VB,F06,SCHED-6,ORG-FR,Ops,Planner F,10,10,OK,Transfer,12.5,C
MAT-1079,PLANT-04,Packaging insert,EA,PROG-G,PC-700,ND,G07,SCHED-1,ORG-CZ,Ops,Planner G,20,20,OK,Buy,18.4,A
MAT-1080,PLANT-01,Motor housing,EA,PROG-H,PC-800,V1,H08,SCHED-2,ORG-PL,Ops,Planner H,25,35,Review,Make,24.0,B
MAT-1081,PLANT-02,Relay module,EA,PROG-A,PC-100,PD,A09,SCHED-3,ORG-DE,Ops,Planner A,50,50,OK,Transfer,31.5,C
MAT-1082,PLANT-03,Shaft collar,EA,PROG-B,PC-200,VB,B01,SCHED-4,ORG-FR,Ops,Planner B,100,80,OK,Buy,44.0,A
MAT-1083,PLANT-04,O-ring set,EA,PROG-C,PC-300,ND,C02,SCHED-5,ORG-CZ,Ops,Planner C,250,120,OK,Make,51.0,B
MAT-1084,PLANT-01,,EA,PROG-D,PC-400,V1,D03,SCHED-6,ORG-PL,Ops,Planner D,500,160,OK,Transfer,78.5,C
MAT-1085,PLANT-02,Flow meter,EA,PROG-E,PC-500,PD,E04,SCHED-1,ORG-DE,Ops,Planner E,10,10,Review,Buy,96.0,A
MAT-1086,PLANT-03,Actuator arm,EA,PROG-F,PC-600,VB,F05,SCHED-2,ORG-FR,Ops,Planner F,20,20,OK,Make,142.0,B
MAT-1087,PLANT-04,Insulation cover,EA,PROG-G,PC-700,ND,G06,SCHED-3,ORG-CZ,Ops,Planner G,25,35,OK,Transfer,188.0,C
MAT-1088,PLANT-01,Guide rail,EA,PROG-H,PC-800,V1,H07,SCHED-4,ORG-PL,Ops,Planner H,50,50,Critical,Buy,260.0,A
MAT-1089,PLANT-02,Solenoid valve,EA,PROG-A,PC-100,PD,A08,SCHED-5,ORG-DE,Ops,Planner A,100,80,OK,Make,315.0,B
MAT-1090,PLANT-03,Battery pack,EA,PROG-B,PC-200,VB,B09,SCHED-6,ORG-FR,Ops,Planner B,250,120,Review,Transfer,410.0,C
MAT-1091,PLANT-04,Housing assembly,EA,PROG-C,PC-300,ND,C01,SCHED-1,ORG-CZ,Ops,Planner C,500,160,OK,Buy,4.8,A
MAT-1092,PLANT-01,Control board,EA,PROG-D,PC-400,V1,D02,SCHED-2,ORG-PL,Ops,Planner D,10,10,OK,Make,9.6,B
MAT-1093,PLANT-02,Legacy bracket,EA,PROG-E,PC-500,PD,E03,SCHED-3,ORG-DE,Ops,Planner E,20,20,OK,Transfer,12.5,C
MAT-1094,PLANT-03,Sensor module,EA,PROG-F,PC-600,VB,F04,SCHED-4,ORG-FR,Ops,Planner F,25,35,OK,Buy,18.4,A
MAT-1095,PLANT-04,Precision bearing,EA,PROG-G,PC-700,ND,G05,SCHED-5,ORG-CZ,Ops,Planner G,50,50,Review,Make,24.0,B
MAT-1096,PLANT-01,Pump rotor,EA,PROG-H,PC-800,V1,H06,SCHED-6,ORG-PL,Ops,Planner H,100,80,OK,Transfer,31.5,C
MAT-1097,PLANT-02,Valve body,EA,PROG-A,PC-100,PD,A07,SCHED-1,ORG-DE,Ops,Planner A,250,120,OK,Buy,44.0,A
MAT-1098,PLANT-03,Seal kit,EA,PROG-B,PC-200,VB,B08,SCHED-2,ORG-FR,Ops,Planner B,500,160,OK,Make,51.0,B
MAT-1099,PLANT-04,Drive belt,EA,PROG-C,PC-300,ND,C09,SCHED-3,ORG-CZ,Ops,Planner C,10,10,Critical,Transfer,78.5,C
MAT-1100,PLANT-01,Display unit,EA,PROG-D,PC-400,V1,D01,SCHED-4,ORG-PL,Ops,Planner D,20,20,Review,Buy,96.0,A
